i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
50,1.231220919,0.010981498,0.006124193,0.006124193,0.002054257,0.335433005,101.3670033,0.943338309,0.00012712
51,1.232166648,0.011419795,0.006251475,0.006251475,0.002178972,0.348553178,103.0794985,0.979831945,0.000127282
52,1.233107013,0.011866348,0.006378918,0.006378918,0.002308572,0.3619066,104.7799755,1.016936029,0.000127442
53,1.234042079,0.012321133,0.006506519,0.006506519,0.002443147,0.375492153,106.4684702,1.054645773,0.000127602
54,1.234971908,0.012784125,0.006634279,0.006634279,0.002582783,0.389308714,108.1450174,1.092956374,0.00012776
55,1.235896564,0.013255299,0.006762195,0.006762195,0.002727566,0.403355154,109.8096504,1.131863015,0.000127916
56,1.236816106,0.01373463,0.006890267,0.006890267,0.002877585,0.417630338,111.4624009,1.171360861,0.000128072
57,1.237730594,0.014222092,0.007018493,0.007018493,0.003032923,0.432133127,113.1032995,1.211445064,0.000128226
58,1.238640088,0.014717659,0.007146872,0.007146872,0.003193668,0.446862375,114.7323755,1.25211076,0.000128379
59,1.239544644,0.015221303,0.007275403,0.007275403,0.003359904,0.461816931,116.3496571,1.293353068,0.000128531
60,1.240444321,0.015732998,0.007404085,0.007404085,0.003531716,0.476995638,117.9551711,1.335167093,0.000128682
61,1.241339173,0.016252717,0.007532917,0.007532917,0.003709188,0.492397335,119.5489437,1.377547926,0.000128832
62,1.242229255,0.016780431,0.007661897,0.007661897,0.003892404,0.508020853,121.1309999,1.420490639,0.00012898
63,1.243114621,0.017316112,0.007791025,0.007791025,0.004081446,0.523865021,122.7013638,1.463990292,0.000129128
64,1.243995325,0.017859732,0.0079203,0.0079203,0.004276397,0.53992866,124.2600586,1.50804193,0.000129274
65,1.244871418,0.018411262,0.008049719,0.008049719,0.004477339,0.556210587,125.8071068,1.55264058,0.00012942
66,1.245742952,0.018970672,0.008179284,0.008179284,0.004684354,0.572709612,127.34253,1.597781259,0.000129564
67,1.246609976,0.019537933,0.008308991,0.008308991,0.004897523,0.589424543,128.8663492,1.643458965,0.000129707
68,1.247472541,0.020113015,0.008438841,0.008438841,0.005116926,0.60635418,130.3785848,1.689668685,0.00012985
69,1.248330695,0.020695887,0.008568832,0.008568832,0.005342644,0.623497319,131.8792564,1.736405391,0.000129991
70,1.249184486,0.021286519,0.008698964,0.008698964,0.005574755,0.640852751,133.3683833,1.78366404,0.000130132
71,1.250033962,0.021884879,0.008829235,0.008829235,0.005813338,0.658419262,134.8459841,1.831439578,0.000130271
72,1.250879168,0.022490936,0.008959644,0.008959644,0.006058472,0.676195632,136.3120768,1.879726936,0.000130409
73,1.251720151,0.023104658,0.009090191,0.009090191,0.006310234,0.694180638,137.7666794,1.928521033,0.000130547
